  133.229224    -4.972122 1
  133.249659     0.226546 1
  133.270094    -1.489054 1
  133.290528     2.758902 1
  133.310963    -1.167508 1
  133.331397    -1.821028 1
  133.351832     6.078758 1
  133.372266     9.513558 1
  133.392701     0.620029 1
  133.413135    -1.595343 1
  133.433570    -0.063240 1
  133.454004    -0.804590 1
  133.474439     3.030689 1
  133.494874    -0.848817 1
  133.515308    -0.406714 1
  133.535743     0.327136 1
  133.556177    -0.546958 1
  133.576612     6.909960 1
  133.597046     0.775723 1
  133.617481    -3.033425 1
  133.637915     4.046821 1
  133.658350    -0.497571 1
  133.678785    -5.917579 1
  133.699219     3.392107 1
  133.719654     0.194814 1
  133.740088     2.219198 1
  133.760523     0.018613 1
  133.780957    -1.760670 1
  133.801392    -1.688083 1
  133.821826    -0.941901 1
  133.842261    -3.291511 1
  133.862696    -3.290122 1
  133.883130     0.503743 1
  133.903565    -2.039800 1
  133.923999     2.453475 1
  133.944434     0.677529 1
  133.964868     2.253570 1
  133.985303    -5.756234 1
  134.005738     7.711454 1
  134.026172    -4.970723 1
  134.046606    -4.061934 1
  134.067041     1.381206 1
  134.087476    -3.549743 1
  134.107910     0.886764 1
  134.128345    -1.288252 1
  134.148779     0.281476 1
  134.169214     4.529498 1
  134.189648     4.181611 1
  134.210083    -4.182453 1
  134.230518     4.550632 1
  134.250952    -0.147883 1
  134.271387     9.682823 1
  134.291821    -2.135988 1
  134.312256     0.943997 1
  134.332690     0.645894 1
  134.353125    -1.684283 1
  134.373559     0.091673 1
  134.414429    -3.512265 1
  134.434863    -0.138292 1
  134.455298    -3.424939 1
  134.475732     0.672986 1
  134.496167    11.548654 1
  134.516601    -0.282013 1
  134.537036    -4.141616 1
  134.557470    -0.916589 1
  134.577905     3.803088 1
  134.598340    -4.428718 1
  134.618774     3.472543 1
  134.639208     0.058815 1
  134.659643     0.644932 1
  134.680078    -2.336517 1
  134.700512     0.640214 1
  134.720947     5.594361 1
  134.741381    -1.490630 1
  134.761816     4.022625 1
  134.782250    -4.743886 1
  134.802685     5.014675 1
  134.823119    -3.705494 1
  134.843554     0.764446 1
  134.863989    -2.296214 1
  134.884423    -1.775697 1
  134.904858     0.174010 1
  134.925292    -0.557413 1
  134.945727     1.660928 1
  134.966161    -0.839294 1
  134.986596    -2.382179 1
  135.007031     2.819996 1
  135.027465    -6.884915 1
  135.047899     6.331956 1
  135.068334    -0.950969 1
  135.088769    -3.396709 1
  135.109203     6.030286 1
  135.129638    -2.321847 1
  135.150072    -0.301361 1
  135.170507     4.212035 1
  135.190941    -5.801168 1
  135.211376     1.194221 1
  135.231810    -1.087944 1
  135.252245    -0.596267 1
  135.272680    -4.617224 1
  135.293114     2.207655 1
  135.313549    -5.363145 1
  135.333983    -1.050299 1
